region_code,sido,sigungu,gu,eupmyeondong,level,region_name,total_population,elderly_65_plus,elderly_65_ratio,elderly_75_plus,elderly_75_ratio,elderly_85_plus,elderly_85_ratio,child_0_14,child_0_14_ratio,working_15_64,working_15_64_ratio,aging_index,pop_0_9,ratio_0_9,pop_10_19,ratio_10_19,pop_20_29,ratio_20_29,pop_30_39,ratio_30_39,pop_40_49,ratio_40_49,pop_50_59,ratio_50_59,pop_60_69,ratio_60_69,pop_70_79,ratio_70_79,pop_80_plus,ratio_80_plus,farmer_ratio,solitary_elderly,base_year
4793031500,경상북도,울진군,,북면하당출장소,eupmyeondong,울진군 북면하당출장소,3500,1200,34.29,540,15.43,144,4.11,,,,,,,,,,,,,,,,,,,,,,,,0.15,300,2026
4793032000,경상북도,울진군,,서면,eupmyeondong,서면,1390,585,42.09,261,18.78,92,6.62,56,4.03,749,53.88,1044.6,32,2.3,50,3.6,62,4.46,100,7.19,134,9.64,262,18.85,362,26.04,226,16.26,162,11.65,0.3157,146,2026
4793033000,경상북도,울진군,,근남면,eupmyeondong,근남면,2676,1154,43.12,537,20.07,221,8.26,138,5.16,1384,51.72,836.2,80,2.99,105,3.92,139,5.19,174,6.5,220,8.22,484,18.09,693,25.9,402,15.02,379,14.16,0.3234,288,2026
4793034000,경상북도,울진군,,원남면,eupmyeondong,울진군 원남면,3500,1200,34.29,540,15.43,144,4.11,,,,,,,,,,,,,,,,,,,,,,,,0.35,300,2026
4793035000,경상북도,울진군,,기성면,eupmyeondong,기성면,2237,1250,55.88,637,28.48,263,11.76,61,2.73,926,41.39,2049.2,28,1.25,70,3.13,123,5.5,107,4.78,103,4.6,307,13.72,584,26.11,475,21.23,440,19.67,0.4191,312,2026
4793036000,경상북도,울진군,,온정면,eupmyeondong,온정면,1517,909,59.92,494,32.56,191,12.59,44,2.9,564,37.18,2065.9,18,1.19,46,3.03,49,3.23,43,2.83,78,5.14,208,13.71,405,26.7,345,22.74,325,21.42,0.4494,227,2026
4793037000,경상북도,울진군,,죽변면,eupmyeondong,죽변면,5955,2084,35.0,849,14.26,278,4.67,266,4.47,3605,60.54,783.5,150,2.52,295,4.95,471,7.91,535,8.98,613,10.29,1139,19.13,1397,23.46,831,13.95,524,8.8,0.2625,521,2026
4793038000,경상북도,울진군,,후포면,eupmyeondong,후포면,6841,2715,39.69,1142,16.69,306,4.47,414,6.05,3712,54.26,655.8,220,3.22,424,6.2,480,7.02,498,7.28,686,10.03,1147,16.77,1545,22.58,1182,17.28,659,9.63,0.2977,678,2026
4793039000,경상북도,울진군,,금강송면,eupmyeondong,금강송면,1198,634,52.92,296,24.71,104,8.68,16,1.34,548,45.74,3962.5,5,0.42,28,2.34,24,2.0,26,2.17,63,5.26,235,19.62,385,32.14,238,19.87,194,16.19,0.3969,158,2026
4793040000,경상북도,울진군,,매화면,eupmyeondong,매화면,1865,1035,55.5,549,29.44,232,12.44,54,2.9,776,41.61,1916.7,21,1.13,65,3.49,68,3.65,56,3.0,103,5.52,296,15.87,473,25.36,390,20.91,393,21.07,0.4163,258,2026
4794000000,경상북도,울릉군,,,sigungu,울릉군,8780,2915,33.2,1156,13.17,311,3.54,454,5.17,5411,61.63,642.1,247,2.81,414,4.72,621,7.07,786,8.95,1067,12.15,1765,20.1,2042,23.26,1185,13.5,653,7.44,0.0664,728,2026
4794025000,경상북도,울릉군,,울릉읍,eupmyeondong,울릉읍,6076,1849,30.43,699,11.5,162,2.67,336,5.53,3891,64.04,550.3,177,2.91,321,5.28,473,7.78,574,9.45,790,13.0,1257,20.69,1332,21.92,770,12.67,382,6.29,0.1217,462,2026
4794031000,경상북도,울릉군,,서면,eupmyeondong,서면,1390,585,42.09,261,18.78,92,6.62,56,4.03,749,53.88,1044.6,32,2.3,50,3.6,62,4.46,100,7.19,134,9.64,262,18.85,362,26.04,226,16.26,162,11.65,0.3157,146,2026
4794031500,경상북도,울릉군,,서면태하출장소,eupmyeondong,울릉군 서면태하출장소,3500,1200,34.29,540,15.43,144,4.11,,,,,,,,,,,,,,,,,,,,,,,,0.15,300,2026
4794032000,경상북도,울릉군,,북면,eupmyeondong,북면,1314,481,36.61,196,14.92,57,4.34,62,4.72,771,58.68,775.8,38,2.89,43,3.27,86,6.54,112,8.52,143,10.88,246,18.72,348,26.48,189,14.38,109,8.3,0.2746,120,2026
