sigungu,lat,lon,shelter_name,shelter_type,road_address,lot_address,area_m2,capacity,fans,aircons,rest_area,night_open,weekend_open,stay_open
상주시,36.4706154,128.13664,봉강1리경로당,특정계층이용시설,경상북도 상주시 외서면 우산로 293-10,-,86,26,1,1,-,아니오,아니오,아니오
상주시,36.4872761,128.106965,관현리마을회관,특정계층이용시설,경상북도 상주시 외서면관현2길 3,-,94,30,1,1,-,아니오,아니오,아니오
상주시,36.5294286,128.069513,봉중리마을회관,특정계층이용시설,경상북도 상주시 은척면봉중2길 38,-,99,30,1,1,-,아니오,아니오,아니오
상주시,36.5394176,128.061912,우기1리마을회관,특정계층이용시설,경상북도 상주시 은척면우기1길 40,-,99,28,1,1,-,아니오,아니오,아니오
상주시,36.5399999,128.050061,남곡1리경로당,특정계층이용시설,경상북도 상주시 은척면성주로 527-16,-,237,72,1,1,-,아니오,아니오,아니오
고령군,35.652591,128.345772,월오리경로당,특정계층이용시설,경상북도 고령군 우곡면 월오길 9,-,66.18,20,1,1,-,아니오,아니오,아니오
영덕군,36.4087246,129.2739576,인곡리,특정계층이용시설,경상북도 영덕군 달산면 주왕산로 3342,-,64,19,2,1,-,아니오,아니오,아니오
경주시,35.968602,129.152332,두류2리경로당,특정계층이용시설,"경상북도 경주시 안강읍 사박길  221 , 두류2리회관",-,112,34,1,1,-,아니오,아니오,아니오
경주시,35.968023,129.228855,갑산2리마을회관,특정계층이용시설,"경상북도 경주시 안강읍 사들길  21 , 갑산2리마을회관",-,142,43,1,1,-,아니오,아니오,아니오
안동시,36.5705378,128.7312512,명신경로당,특정계층이용시설,경상북도 안동시 퇴계로 149-16,-,162.18,25,3,1,-,아니오,아니오,아니오
김천시,36.1198687,128.1447863,갈대경로당,특정계층이용시설,경상북도 김천시 체육공원길 21 (지좌동),-,148,37,2,1,-,아니오,아니오,예
안동시,36.5547973,128.7569575,용상동대성경로당,특정계층이용시설,경상북도 안동시 용상동 마들1길  13-5  (용상동),-,84.33,200,2,3,-,아니오,아니오,아니오
안동시,36.571154,128.786895,석동감성경로당,특정계층이용시설,경상북도 안동시 석동동 감성골길  327   (석동동),-,36,30,2,1,-,아니오,아니오,아니오
안동시,36.5593517,128.7452664,정거리경로당,특정계층이용시설,경상북도 안동시 용상동 전거리3길  33-14  (용상동),-,94.55,23,3,1,-,아니오,아니오,아니오
