emd_code,sido_name,sigungu_name,emd_name,center_lat,center_lon,grid_nx,grid_ny,announce_time,temperature,humidity,feels_like,risk_tier
4783025000,경상북도,고령군,고령읍,35.73063565517672,128.2616164309396,83,87,20260823T01:00,24.1,100.0,27.4,양호
4783034000,경상북도,고령군,다산면,35.81591097351385,128.42461778999348,86,89,20260823T01:00,25.8,93.0,28.7,양호
4783025300,경상북도,고령군,대가야읍,35.73063565517672,128.2616164309396,83,87,20260823T01:00,24.1,100.0,27.4,양호
4783031000,경상북도,고령군,덕곡면,35.78607917170875,128.20480474059954,82,88,20260823T01:00,24.1,100.0,27.4,양호
4783033000,경상북도,고령군,성산면,35.75867086613374,128.35996513498966,85,88,20260823T01:00,25.8,93.0,28.7,양호
4783037000,경상북도,고령군,쌍림면,35.688954706305545,128.23983470107441,83,86,20260823T01:00,24.1,100.0,27.4,양호
4783036000,경상북도,고령군,우곡면,35.658506688618786,128.33762333426773,84,86,20260823T01:00,24.1,100.0,27.4,양호
4783032000,경상북도,고령군,운수면,35.7828745800424,128.29096037007002,83,88,20260823T01:00,24.1,100.0,27.4,양호
4719025300,경상북도,구미시,고아읍,36.183644637492336,128.3276879397915,84,97,20260823T01:00,24.0,95.0,27.0,양호
4719062100,경상북도,구미시,공단1동,36.11799982594666,128.3800339590025,85,96,20260823T01:00,24.0,95.0,27.0,양호
4719062200,경상북도,구미시,공단2동,36.09245137704089,128.37984900174322,85,95,20260823T01:00,25.1,100.0,28.5,양호
4719070000,경상북도,구미시,공단동,36.093271718216315,128.37985814603744,85,95,20260823T01:00,25.1,100.0,28.5,양호
4719063000,경상북도,구미시,광평동,36.10874583312154,128.35697691923127,84,96,20260823T01:00,24.0,95.0,27.0,양호
4719033000,경상북도,구미시,도개면,36.304108173658065,128.3493638218648,84,100,20260823T01:00,23.1,100.0,26.4,양호
4719055100,경상북도,구미시,도량동,36.14302734422508,128.32940625346004,84,96,20260823T01:00,24.0,95.0,27.0,양호
4719031000,경상북도,구미시,무을면,36.2656410148318,128.18792616587123,81,99,20260823T01:00,23.1,95.0,26.1,양호
4719061000,경상북도,구미시,비산동,36.122896683305385,128.37983303071914,85,96,20260823T01:00,24.0,95.0,27.0,양호
4719035000,경상북도,구미시,산동면,36.18147593201649,128.46221201810397,86,97,20260823T01:00,23.4,100.0,26.7,양호
4719025600,경상북도,구미시,산동읍,36.181060554754914,128.46229590095902,86,97,20260823T01:00,23.4,100.0,26.7,양호
4719064500,경상북도,구미시,상모사곡동,36.09233066275161,128.34654601818127,84,95,20260823T01:00,23.4,100.0,26.7,양호
4719025000,경상북도,구미시,선산읍,36.246958871261675,128.28357973191547,83,99,20260823T01:00,23.1,100.0,26.4,양호
4719056500,경상북도,구미시,선주원남동,36.1298617822155,128.31008618682114,84,96,20260823T01:00,24.0,95.0,27.0,양호
4719051000,경상북도,구미시,송정동,36.11814744746997,128.34832313823443,84,96,20260823T01:00,24.0,95.0,27.0,양호
4719059000,경상북도,구미시,신평1동,36.11994426438672,128.36183225170632,85,96,20260823T01:00,24.0,95.0,27.0,양호
4719060000,경상북도,구미시,신평2동,36.125069192589066,128.36625550858946,85,96,20260823T01:00,24.0,95.0,27.0,양호
4719069000,경상북도,구미시,양포동,36.135100098747614,128.41282207799426,85,96,20260823T01:00,24.0,95.0,27.0,양호
4719032000,경상북도,구미시,옥성면,36.304873850211266,128.26956784310244,83,100,20260823T01:00,23.1,100.0,26.4,양호
4719052000,경상북도,구미시,원평1동,36.12540882132426,128.3477678462797,84,96,20260823T01:00,24.0,95.0,27.0,양호
4719053000,경상북도,구미시,원평2동,36.13120294604384,128.3314489370576,84,96,20260823T01:00,24.0,95.0,27.0,양호
4719053500,경상북도,구미시,원평동,36.127489918970944,128.34030011686397,84,96,20260823T01:00,24.0,95.0,27.0,양호
4719067000,경상북도,구미시,인동동,36.09730126834196,128.451853483207,86,95,20260823T01:00,23.4,100.0,26.7,양호
4719066000,경상북도,구미시,임오동,36.076221800257514,128.3627209038887,85,95,20260823T01:00,25.1,100.0,28.5,양호
4719036000,경상북도,구미시,장천면,36.15236104900126,128.51196844613926,87,97,20260823T01:00,23.4,100.0,26.7,양호
4719055500,경상북도,구미시,지산동,36.13710635441166,128.35600708677237,84,96,20260823T01:00,24.0,95.0,27.0,양호
4719068000,경상북도,구미시,진미동,36.104061484271185,128.40907442837963,85,95,20260823T01:00,25.1,100.0,28.5,양호
4719034000,경상북도,구미시,해평면,36.219242880790546,128.40176055763902,85,98,20260823T01:00,23.1,98.0,26.3,양호
4719058200,경상북도,구미시,형곡1동,36.11437798222981,128.33304930666137,84,96,20260823T01:00,24.0,95.0,27.0,양호
4719058300,경상북도,구미시,형곡2동,36.103020821943744,128.3340070031142,84,95,20260823T01:00,23.4,100.0,26.7,양호
4772037000,경상북도,군위군,고로면,36.15134690882004,128.82878198353498,93,97,20260823T01:00,21.4,100.0,24.6,양호
4772025000,경상북도,군위군,군위읍,36.23510385855253,128.57890006538415,88,98,20260823T01:00,23.2,100.0,26.5,양호
4772033000,경상북도,군위군,부계면,36.066367133234785,128.65984917406072,90,95,20260823T01:00,23.0,97.0,26.1,양호
4772036000,경상북도,군위군,산성면,36.093577180526545,128.71690968325672,91,95,20260823T01:00,23.0,97.0,26.1,양호
4772038000,경상북도,군위군,삼국유사면,36.1511342895383,128.8284449248377,93,97,20260823T01:00,21.4,100.0,24.6,양호
4772031000,경상북도,군위군,소보면,36.25599604124471,128.4711060189668,86,99,20260823T01:00,23.1,98.0,26.3,양호
4772034000,경상북도,군위군,우보면,36.16905090746477,128.64479396839937,89,97,20260823T01:00,22.9,100.0,26.2,양호
4772035000,경상북도,군위군,의흥면,36.16253088981249,128.73743021629082,91,97,20260823T01:00,22.9,100.0,26.2,양호
4772032000,경상북도,군위군,효령면,36.143195458276445,128.5887215834448,88,96,20260823T01:00,23.4,100.0,26.7,양호
4715035000,경상북도,김천시,감문면,36.222708578400784,128.17547776102572,81,98,20260823T01:00,23.1,95.0,26.1,양호
4715039000,경상북도,김천시,감천면,36.06631655745592,128.13583896175027,81,95,20260823T01:00,23.5,93.0,26.3,양호
4715034000,경상북도,김천시,개령면,36.17176698018228,128.18416924550348,81,97,20260823T01:00,23.5,93.0,26.3,양호
4715041000,경상북도,김천시,구성면,36.04260906396317,128.0168989957013,78,94,20260823T01:00,22.2,100.0,25.5,양호
4715032000,경상북도,김천시,남면,36.10034999623199,128.23375204024026,82,95,20260823T01:00,23.5,93.0,26.3,양호
4715031000,경상북도,김천시,농소면,36.088382204444386,128.17781437434942,81,95,20260823T01:00,23.5,93.0,26.3,양호
4715059500,경상북도,김천시,대곡동,36.11494826193597,128.0823741646688,80,96,20260823T01:00,23.5,93.0,26.3,양호
4715044000,경상북도,김천시,대덕면,35.9099286917454,127.94563751649005,77,91,20260823T01:00,21.6,99.0,24.8,양호
4715057500,경상북도,김천시,대신동,36.14897099350419,128.10997129145343,80,96,20260823T01:00,23.5,93.0,26.3,양호
4715038000,경상북도,김천시,대항면,36.10341483664665,128.01393077476126,78,95,20260823T01:00,22.2,100.0,25.5,양호
4715037000,경상북도,김천시,봉산면,36.169236709111026,128.0327733176592,79,97,20260823T01:00,22.2,100.0,25.5,양호
4715043000,경상북도,김천시,부항면,36.0020141915642,127.93669056174781,77,93,20260823T01:00,21.4,100.0,24.6,양호
4715053500,경상북도,김천시,성남동,36.120132594640616,128.1147819061154,80,96,20260823T01:00,23.5,93.0,26.3,양호
4715025000,경상북도,김천시,아포읍,36.149360059782204,128.23495308179167,82,96,20260823T01:00,23.5,93.0,26.3,양호
4715056500,경상북도,김천시,양금동,36.09812961054926,128.10511229627272,80,95,20260823T01:00,23.5,93.0,26.3,양호
4715036000,경상북도,김천시,어모면,36.20364169850682,128.0937205362245,80,97,20260823T01:00,23.5,93.0,26.3,양호
4715051500,경상북도,김천시,용암동,36.123686422655354,128.12491092859167,80,96,20260823T01:00,23.5,93.0,26.3,양호
4715064000,경상북도,김천시,율곡동,36.12266458087067,128.18484305511407,81,96,20260823T01:00,23.5,93.0,26.3,양호
4715051600,경상북도,김천시,자산동,36.12337048414376,128.12498621213072,80,96,20260823T01:00,23.5,93.0,26.3,양호
4715040000,경상북도,김천시,조마면,36.02130265969047,128.1217930972786,80,94,20260823T01:00,23.5,93.0,26.3,양호
4715045000,경상북도,김천시,증산면,35.88479112934086,128.02815824567034,79,91,20260823T01:00,21.4,100.0,24.6,양호
4715042000,경상북도,김천시,지례면,35.96418342172782,128.05067832492782,79,92,20260823T01:00,21.6,99.0,24.8,양호
4715061000,경상북도,김천시,지좌동,36.119107227240775,128.14685397817053,81,96,20260823T01:00,23.5,93.0,26.3,양호
4715053600,경상북도,김천시,평화남산동,36.120132594640616,128.1147819061154,80,96,20260823T01:00,23.5,93.0,26.3,양호
4715054000,경상북도,김천시,평화동,36.12479470748579,128.11281796823448,80,96,20260823T01:00,23.5,93.0,26.3,양호
4728025300,경상북도,문경시,가은읍,36.65946283425662,127.99794336224114,78,107,20260823T01:00,21.5,98.0,24.6,양호
4728025400,경상북도,문경시,가은읍북부출장소,36.57727071875498,128.0877273237054,79,106,20260823T01:00,21.7,94.0,24.5,양호
4728029100,경상북도,문경시,가은읍북부출장소,36.57727071875498,128.0877273237054,79,106,20260823T01:00,21.7,94.0,24.5,양호
4728037000,경상북도,문경시,농암면,36.582760792374636,127.97892821885912,78,106,20260823T01:00,22.3,100.0,25.6,양호
4728035000,경상북도,문경시,동로면,36.774703452788145,128.31679756860208,83,110,20260823T01:00,20.8,97.0,23.8,양호
4728036000,경상북도,문경시,마성면,36.68354096813909,128.11039400005563,80,108,20260823T01:00,22.3,100.0,25.6,양호
4728056000,경상북도,문경시,모전동,36.59038505991944,128.18602391469463,81,106,20260823T01:00,22.3,100.0,25.6,양호
4728025000,경상북도,문경시,문경읍,36.769978036650095,128.12521936699133,80,110,20260823T01:00,20.8,97.0,23.8,양호
4728025100,경상북도,문경시,문경읍갈평출장소,36.7871267713617,128.1580960958867,81,110,20260823T01:00,20.8,97.0,23.8,양호
4728029000,경상북도,문경시,문경읍갈평출장소,36.7871267713617,128.1580960958867,81,110,20260823T01:00,20.8,97.0,23.8,양호
4728034000,경상북도,문경시,산북면,36.70872135949292,128.25749821989828,82,109,20260823T01:00,20.8,97.0,23.8,양호
