SERIAL	ADMCD	ADMNM	LAT	LON
4113	4715061000	경상북도 김천시 지좌동	36.1191072	128.1468540
4114	4715064000	경상북도 김천시 율곡동	36.1226646	128.1848431
4115	4717000000	경상북도 안동시	36.5592983	128.7242967
4116	4717025000	경상북도 안동시 풍산읍	36.5989139	128.5457313
4117	4717031000	경상북도 안동시 와룡면	36.6328315	128.7831719
4118	4717032000	경상북도 안동시 북후면	36.6637340	128.7036042
4119	4717033000	경상북도 안동시 서후면	36.6260963	128.6574672
4120	4717034000	경상북도 안동시 풍천면	36.5178554	128.5057401
4121	4717034500	경상북도 안동시 풍천면어담출장소	36.4937226	128.5639764
4122	4717035000	경상북도 안동시 일직면	36.4628797	128.6432955
4123	4717036000	경상북도 안동시 남후면	36.5286345	128.6298648
4124	4717037000	경상북도 안동시 남선면	36.5079039	128.7506106
4125	4717038000	경상북도 안동시 임하면	36.5172094	128.8464247
4126	4717039000	경상북도 안동시 길안면	36.4062945	128.9142967
4127	4717040000	경상북도 안동시 임동면	36.5923119	128.9334349
4128	4717041000	경상북도 안동시 예안면	36.6844078	128.8971907
4129	4717041500	경상북도 안동시 예안면삼계출장소	36.7195030	128.9250461
4130	4717042000	경상북도 안동시 도산면	36.7486962	128.8543233
4131	4717042500	경상북도 안동시 도산면서부출장소	36.6982108	128.8122318
4132	4717043000	경상북도 안동시 녹전면	36.7508193	128.7671555
4133	4717051000	경상북도 안동시 중구동	36.5735748	128.7565863
4134	4717052000	경상북도 안동시 명륜동	36.5831332	128.7425347
4135	4717055500	경상북도 안동시 용상동	36.5610758	128.7748773
4136	4717058500	경상북도 안동시 서구동	36.5643649	128.7216165
4137	4717060000	경상북도 안동시 태화동	36.5618039	128.7119885
4138	4717061000	경상북도 안동시 법상동	36.5618039	128.7119885
4139	4717062000	경상북도 안동시 평화동	36.5730080	128.7111913
4140	4717063000	경상북도 안동시 안기동	36.5917160	128.7144460
4141	4717065000	경상북도 안동시 옥동	36.5584072	128.6903362
4142	4717066000	경상북도 안동시 송하동	36.5802929	128.6913986
4143	4717069000	경상북도 안동시 강남동	36.5435620	128.7283832
4144	4719000000	경상북도 구미시	36.2122916	128.3626992
4145	4719025000	경상북도 구미시 선산읍	36.2469589	128.2835797
4146	4719025300	경상북도 구미시 고아읍	36.1836446	128.3276879
4147	4719025600	경상북도 구미시 산동읍	36.1810606	128.4622959
4148	4719031000	경상북도 구미시 무을면	36.2656410	128.1879262
4149	4719032000	경상북도 구미시 옥성면	36.3048739	128.2695678
4150	4719033000	경상북도 구미시 도개면	36.3041082	128.3493638
4151	4719034000	경상북도 구미시 해평면	36.2192429	128.4017606
4152	4719035000	경상북도 구미시 산동면	36.1814759	128.4622120
4153	4719036000	경상북도 구미시 장천면	36.1523610	128.5119684
4154	4719051000	경상북도 구미시 송정동	36.1181474	128.3483231
4155	4719052000	경상북도 구미시 원평1동	36.1254088	128.3477678
4156	4719053000	경상북도 구미시 원평2동	36.1312029	128.3314489
4157	4719053500	경상북도 구미시 원평동	36.1274899	128.3403001
4158	4719055100	경상북도 구미시 도량동	36.1430273	128.3294063
4159	4719055500	경상북도 구미시 지산동	36.1371064	128.3560071
4160	4719056500	경상북도 구미시 선주원남동	36.1298618	128.3100862
4161	4719058200	경상북도 구미시 형곡1동	36.1143780	128.3330493
4162	4719058300	경상북도 구미시 형곡2동	36.1030208	128.3340070
4163	4719059000	경상북도 구미시 신평1동	36.1199443	128.3618323
4164	4719060000	경상북도 구미시 신평2동	36.1250692	128.3662555
4165	4719061000	경상북도 구미시 비산동	36.1228967	128.3798330
4166	4719062100	경상북도 구미시 공단1동	36.1179998	128.3800340
4167	4719062200	경상북도 구미시 공단2동	36.0924514	128.3798490
4168	4719063000	경상북도 구미시 광평동	36.1087458	128.3569769
4169	4719064500	경상북도 구미시 상모사곡동	36.0923307	128.3465460
4170	4719066000	경상북도 구미시 임오동	36.0762218	128.3627209
4171	4719067000	경상북도 구미시 인동동	36.0973013	128.4518535
4172	4719068000	경상북도 구미시 진미동	36.1040615	128.4090744
4173	4719069000	경상북도 구미시 양포동	36.1351001	128.4128221
4174	4719070000	경상북도 구미시 공단동	36.0932717	128.3798581
4175	4721000000	경상북도 영주시	36.8804914	128.5349936
4176	4721025000	경상북도 영주시 풍기읍	36.9078097	128.4877800
4177	4721031000	경상북도 영주시 이산면	36.8133024	128.6996526
4178	4721032000	경상북도 영주시 평은면	36.7487512	128.7068351
4179	4721033000	경상북도 영주시 문수면	36.7474340	128.6260302
4180	4721034000	경상북도 영주시 장수면	36.7812454	128.5584236
4181	4721035000	경상북도 영주시 안정면	36.8427067	128.5571953
4182	4721036000	경상북도 영주시 봉현면	36.8192311	128.5001733
4183	4721037000	경상북도 영주시 순흥면	36.9279369	128.5530042
4184	4721038000	경상북도 영주시 단산면	36.9608700	128.5933785
4185	4721039000	경상북도 영주시 부석면	36.9807811	128.6562454
4186	4721051000	경상북도 영주시 상망동	36.8559532	128.6273174
4187	4721052500	경상북도 영주시 하망동	36.8223787	128.6364336
4188	4721055000	경상북도 영주시 영주1동	36.8289962	128.6201713
4189	4721056000	경상북도 영주시 영주2동	36.8231272	128.6183366
4190	4721059000	경상북도 영주시 휴천1동	36.8114762	128.6509473
4191	4721060000	경상북도 영주시 휴천2동	36.8103844	128.6227700
4192	4721061000	경상북도 영주시 휴천3동	36.7952564	128.6428699
4193	4721062000	경상북도 영주시 가흥1동	36.8023242	128.6046388
4194	4721063000	경상북도 영주시 가흥2동	36.8422373	128.6048425
4195	4723000000	경상북도 영천시	36.0074984	128.9157928
4196	4723025000	경상북도 영천시 금호읍	35.9238049	128.8916330
4197	4723031000	경상북도 영천시 청통면	35.9824755	128.8353395
4198	4723032000	경상북도 영천시 신녕면	36.0575601	128.7615093
4199	4723033000	경상북도 영천시 화산면	36.0489682	128.8444880
4200	4723034000	경상북도 영천시 화북면	36.1281633	128.9482714
4201	4723035000	경상북도 영천시 화남면	36.0831965	128.8779891
4202	4723036000	경상북도 영천시 자양면	36.1091228	129.0373313
4203	4723037000	경상북도 영천시 임고면	36.0443464	129.0510118
4204	4723038000	경상북도 영천시 고경면	35.9786527	129.0420834
4205	4723039000	경상북도 영천시 북안면	35.8947507	129.0007565
4206	4723040000	경상북도 영천시 대창면	35.8653187	128.9227730
4207	4723051000	경상북도 영천시 동부동	35.9917622	128.9508986
4208	4723052000	경상북도 영천시 중앙동	36.0013206	128.9274092
4209	4723053500	경상북도 영천시 서부동	35.9725707	128.8983888
4210	4723054000	경상북도 영천시 완산동	35.9611880	128.9534771
4211	4723055500	경상북도 영천시 남부동	35.9241691	128.9596490
4212	4725000000	경상북도 상주시	36.4470927	128.0969985
4213	4725025000	경상북도 상주시 함창읍	36.5518212	128.1919401
4214	4725031000	경상북도 상주시 중동면	36.4319599	128.2793662
4215	4725032000	경상북도 상주시 사벌면	36.4845529	128.2221424
4216	4725032500	경상북도 상주시 사벌국면	36.4846331	128.2222882
4217	4725033000	경상북도 상주시 낙동면	36.3653371	128.2514140
4218	4725033500	경상북도 상주시 낙동면동부출장소	36.3635811	128.2970196
4219	4725034000	경상북도 상주시 청리면	36.3323758	128.1368577
4220	4725035000	경상북도 상주시 공성면	36.2937448	128.0876426
4221	4725036000	경상북도 상주시 외남면	36.3572141	128.0799496
4222	4725037000	경상북도 상주시 내서면	36.4055789	128.0634126
4223	4725038000	경상북도 상주시 모동면	36.2988922	127.9625078
4224	4725039000	경상북도 상주시 모서면	36.3297876	127.8947027
4225	4725039500	경상북도 상주시 모서면서부출장소	36.3068382	127.8710177
4226	4725040000	경상북도 상주시 화동면	36.3981240	127.9762428
4227	4725041000	경상북도 상주시 화서면	36.4571003	127.9604658
4228	4725042000	경상북도 상주시 화북면	36.5820719	127.8683846
4229	4725042600	경상북도 상주시 화북면서부출장소	36.6015716	127.8281704
4230	4725043000	경상북도 상주시 외서면	36.4836415	128.0478233
4231	4725044000	경상북도 상주시 은척면	36.5501680	128.0680358
4232	4725044500	경상북도 상주시 은척면북부출장소	36.5772707	128.0877273
4233	4725045000	경상북도 상주시 공검면	36.5169101	128.1412704
4234	4725046000	경상북도 상주시 이안면	36.5772553	128.1192582
4235	4725047000	경상북도 상주시 화남면	36.4468544	127.8937327
4236	4725052000	경상북도 상주시 남원동	36.4106261	128.1321088
4237	4725053000	경상북도 상주시 북문동	36.4440301	128.1598842
4238	4725054000	경상북도 상주시 계림동	36.4404379	128.1877811
4239	4725055000	경상북도 상주시 동문동	36.4292275	128.2116451
4240	4725056000	경상북도 상주시 동성동	36.3894929	128.1847341
4241	4725057000	경상북도 상주시 신흥동	36.3703245	128.1479465
4242	4728000000	경상북도 문경시	36.6931997	128.1337986
4243	4728025000	경상북도 문경시 문경읍	36.7699780	128.1252194
