region_code,sido,sigungu,gu,eupmyeondong,level,region_name,total_population,elderly_65_plus,elderly_65_ratio,elderly_75_plus,elderly_75_ratio,elderly_85_plus,elderly_85_ratio,child_0_14,child_0_14_ratio,working_15_64,working_15_64_ratio,aging_index,pop_0_9,ratio_0_9,pop_10_19,ratio_10_19,pop_20_29,ratio_20_29,pop_30_39,ratio_30_39,pop_40_49,ratio_40_49,pop_50_59,ratio_50_59,pop_60_69,ratio_60_69,pop_70_79,ratio_70_79,pop_80_plus,ratio_80_plus,base_year
4711158000,경상북도,포항시 남구,남구,효곡동,eupmyeondong,효곡동,28675,4192,14.62,971,3.39,162,0.56,5406.0,18.85,19077.0,66.53,77.5,2728.0,9.51,4556.0,15.89,2457.0,8.57,3008.0,10.49,5607.0,19.55,4254.0,14.84,3698.0,12.9,1992.0,6.95,375.0,1.31,2026
4711159000,경상북도,포항시 남구,남구,대이동,eupmyeondong,대이동,22994,3575,15.55,1105,4.81,284,1.24,2575.0,11.2,16844.0,73.25,138.8,1428.0,6.21,2398.0,10.43,2564.0,11.15,2925.0,12.72,3429.0,14.91,4773.0,20.76,3399.0,14.78,1486.0,6.46,592.0,2.57,2026
4711300000,경상북도,포항시 북구,북구,,sigungu,북구,275509,66327,24.07,23755,8.62,6014,2.18,30374.0,11.02,178808.0,64.9,218.4,17100.0,6.21,26018.0,9.44,23215.0,8.43,32995.0,11.98,39081.0,14.19,46707.0,16.95,48804.0,17.71,28840.0,10.47,12749.0,4.63,2026
4711325000,경상북도,포항시 북구,북구,흥해읍,eupmyeondong,흥해읍,60374,11012,18.24,3901,6.46,1114,1.85,8398.0,13.91,40964.0,67.85,131.1,5546.0,9.19,5358.0,8.87,4988.0,8.26,9910.0,16.41,8823.0,14.61,9974.0,16.52,9114.0,15.1,4437.0,7.35,2224.0,3.68,2026
4711331000,경상북도,포항시 북구,북구,신광면,eupmyeondong,신광면,2700,1547,57.3,681,25.22,245,9.07,70.0,2.59,1083.0,40.11,2210.0,33.0,1.22,75.0,2.78,93.0,3.44,98.0,3.63,153.0,5.67,354.0,13.11,839.0,31.07,621.0,23.0,434.0,16.07,2026
4711332000,경상북도,포항시 북구,북구,청하면,eupmyeondong,청하면,4165,2143,51.45,1036,24.87,332,7.97,114.0,2.74,1908.0,45.81,1879.8,45.0,1.08,144.0,3.46,175.0,4.2,184.0,4.42,299.0,7.18,661.0,15.87,1106.0,26.55,895.0,21.49,656.0,15.75,2026
4711333000,경상북도,포항시 북구,북구,송라면,eupmyeondong,송라면,2289,1241,54.22,620,27.09,220,9.61,50.0,2.18,998.0,43.6,2482.0,23.0,1.0,52.0,2.27,91.0,3.98,95.0,4.15,153.0,6.68,344.0,15.03,618.0,27.0,515.0,22.5,398.0,17.39,2026
4711334000,경상북도,포항시 북구,북구,기계면,eupmyeondong,기계면,4646,2577,55.47,1205,25.94,406,8.74,113.0,2.43,1956.0,42.1,2280.5,64.0,1.38,131.0,2.82,157.0,3.38,187.0,4.02,266.0,5.73,615.0,13.24,1381.0,29.72,1076.0,23.16,769.0,16.55,2026
4711335000,경상북도,포항시 북구,북구,죽장면,eupmyeondong,죽장면,2634,1595,60.55,704,26.73,245,9.3,37.0,1.4,1002.0,38.04,4310.8,11.0,0.42,54.0,2.05,59.0,2.24,62.0,2.35,108.0,4.1,374.0,14.2,904.0,34.32,639.0,24.26,423.0,16.06,2026
4711335500,경상북도,포항시 북구,,죽장면상옥출장소,eupmyeondong,포항시 북구 죽장면상옥출장소,3500,1200,34.29,540,15.43,144,4.11,,,,,,,,,,,,,,,,,,,,,,,,2026
4711336000,경상북도,포항시 북구,북구,기북면,eupmyeondong,기북면,1279,741,57.94,339,26.51,114,8.91,19.0,1.49,519.0,40.58,3900.0,9.0,0.7,30.0,2.35,38.0,2.97,33.0,2.58,67.0,5.24,195.0,15.25,387.0,30.26,299.0,23.38,221.0,17.28,2026
4711352000,경상북도,포항시 북구,북구,중앙동,eupmyeondong,중앙동,14178,5146,36.3,2206,15.56,547,3.86,801.0,5.65,8231.0,58.05,642.4,447.0,3.15,737.0,5.2,1158.0,8.17,1567.0,11.05,1613.0,11.38,2208.0,15.57,2856.0,20.14,2404.0,16.96,1188.0,8.38,2026
4711356000,경상북도,포항시 북구,,학산동,eupmyeondong,포항시 북구 학산동,3500,1200,34.29,540,15.43,144,4.11,,,,,,,,,,,,,,,,,,,,,,,,2026
4711363000,경상북도,포항시 북구,북구,양학동,eupmyeondong,양학동,18805,3801,20.21,1162,6.18,221,1.18,2252.0,11.98,12752.0,67.81,168.8,1292.0,6.87,1896.0,10.08,1660.0,8.83,2469.0,13.13,2690.0,14.3,3355.0,17.84,3212.0,17.08,1691.0,8.99,540.0,2.87,2026
4711364000,경상북도,포항시 북구,북구,죽도1동,eupmyeondong,죽도동,17555,6484,36.94,2563,14.6,510,2.91,742.0,4.23,10329.0,58.84,873.9,369.0,2.1,769.0,4.38,1567.0,8.93,1834.0,10.45,2116.0,12.05,2746.0,15.64,3747.0,21.34,3087.0,17.58,1320.0,7.52,2026
4711365000,경상북도,포항시 북구,북구,죽도2동,eupmyeondong,죽도동,17555,6484,36.94,2563,14.6,510,2.91,742.0,4.23,10329.0,58.84,873.9,369.0,2.1,769.0,4.38,1567.0,8.93,1834.0,10.45,2116.0,12.05,2746.0,15.64,3747.0,21.34,3087.0,17.58,1320.0,7.52,2026
4711365500,경상북도,포항시 북구,북구,죽도동,eupmyeondong,죽도동,17555,6484,36.94,2563,14.6,510,2.91,742.0,4.23,10329.0,58.84,873.9,369.0,2.1,769.0,4.38,1567.0,8.93,1834.0,10.45,2116.0,12.05,2746.0,15.64,3747.0,21.34,3087.0,17.58,1320.0,7.52,2026
4711366500,경상북도,포항시 북구,북구,용흥동,eupmyeondong,용흥동,18669,6067,32.5,2176,11.66,468,2.51,1397.0,7.48,11205.0,60.02,434.3,654.0,3.5,1519.0,8.14,1420.0,7.61,1452.0,7.78,2312.0,12.38,3373.0,18.07,4001.0,21.43,2842.0,15.22,1096.0,5.87,2026
4711368000,경상북도,포항시 북구,북구,우창동,eupmyeondong,우창동,29727,6421,21.6,2039,6.86,492,1.66,3674.0,12.36,19632.0,66.04,174.8,1999.0,6.72,3225.0,10.85,2303.0,7.75,3447.0,11.6,4614.0,15.52,5044.0,16.97,5309.0,17.86,2742.0,9.22,1044.0,3.51,2026
