region_code,sido,sigungu,eupmyeondong,level,lat,lon
4715051500,경상북도,김천시,용암동,eupmyeondong,36.123686,128.124911
4715051600,경상북도,김천시,자산동,eupmyeondong,36.123371,128.124986
4715053500,경상북도,김천시,성남동,eupmyeondong,36.120133,128.114782
4715053600,경상북도,김천시,평화남산동,eupmyeondong,36.120133,128.114782
4715054000,경상북도,김천시,평화동,eupmyeondong,36.124795,128.112818
4715056500,경상북도,김천시,양금동,eupmyeondong,36.09813,128.105112
4715057500,경상북도,김천시,대신동,eupmyeondong,36.148971,128.109971
4715059500,경상북도,김천시,대곡동,eupmyeondong,36.114948,128.082374
4715061000,경상북도,김천시,지좌동,eupmyeondong,36.119107,128.146854
4715064000,경상북도,김천시,율곡동,eupmyeondong,36.122665,128.184843
4717000000,경상북도,안동시,,sigungu,36.559298,128.724297
4717025000,경상북도,안동시,풍산읍,eupmyeondong,36.598914,128.545731
4717031000,경상북도,안동시,와룡면,eupmyeondong,36.632832,128.783172
4717032000,경상북도,안동시,북후면,eupmyeondong,36.663734,128.703604
4717033000,경상북도,안동시,서후면,eupmyeondong,36.626096,128.657467
4717034000,경상북도,안동시,풍천면,eupmyeondong,36.517855,128.50574
4717034500,경상북도,안동시,풍천면어담출장소,eupmyeondong,36.493723,128.563976
4717035000,경상북도,안동시,일직면,eupmyeondong,36.46288,128.643295
4717036000,경상북도,안동시,남후면,eupmyeondong,36.528635,128.629865
4717037000,경상북도,안동시,남선면,eupmyeondong,36.507904,128.750611
4717038000,경상북도,안동시,임하면,eupmyeondong,36.517209,128.846425
4717039000,경상북도,안동시,길안면,eupmyeondong,36.406295,128.914297
4717040000,경상북도,안동시,임동면,eupmyeondong,36.592312,128.933435
4717041000,경상북도,안동시,예안면,eupmyeondong,36.684408,128.897191
4717041500,경상북도,안동시,예안면삼계출장소,eupmyeondong,36.719503,128.925046
4717042000,경상북도,안동시,도산면,eupmyeondong,36.748696,128.854323
4717042500,경상북도,안동시,도산면서부출장소,eupmyeondong,36.698211,128.812232
4717043000,경상북도,안동시,녹전면,eupmyeondong,36.750819,128.767156
4717051000,경상북도,안동시,중구동,eupmyeondong,36.573575,128.756586
4717052000,경상북도,안동시,명륜동,eupmyeondong,36.583133,128.742535
