SERIAL	ADMCD	ADMNM	X	Y
4125	4717038000	경상북도 안동시 임하면	1120556	1836345
4126	4717039000	경상북도 안동시 길안면	1126814	1824128
4127	4717040000	경상북도 안동시 임동면	1128223	1844789
4128	4717041000	경상북도 안동시 예안면	1124832	1854958
4129	4717041500	경상북도 안동시 예안면삼계출장소	1127263	1858888
4130	4717042000	경상북도 안동시 도산면	1120901	1862035
4131	4717042500	경상북도 안동시 도산면서부출장소	1117220	1856382
4132	4717043000	경상북도 안동시 녹전면	1113116	1862164
4133	4717051000	경상북도 안동시 중구동	1112430	1842489
4134	4717052000	경상북도 안동시 명륜동	1111159	1843533
4135	4717055500	경상북도 안동시 용상동	1114085	1841124
4136	4717058500	경상북도 안동시 서구동	1109314	1841427
4137	4717060000	경상북도 안동시 태화동	1108456	1841132
4138	4717061000	경상북도 안동시 법상동	1108456	1841132
4139	4717062000	경상북도 안동시 평화동	1108369	1842374
4140	4717063000	경상북도 안동시 안기동	1108634	1844453
4141	4717065000	경상북도 안동시 옥동	1106523	1840731
4142	4717066000	경상북도 안동시 송하동	1106588	1843160
4143	4717069000	경상북도 안동시 강남동	1109949	1839127
4144	4719000000	경상북도 구미시	1077545	1802025
4145	4719025000	경상북도 구미시 선산읍	1070402	1805810
4146	4719025300	경상북도 구미시 고아읍	1074425	1798820
4147	4719025600	경상북도 구미시 산동읍	1086532	1798645
4148	4719031000	경상북도 구미시 무을면	1061793	1807817
4149	4719032000	경상북도 구미시 옥성면	1069092	1812224
4150	4719033000	경상북도 구미시 도개면	1076257	1812199
4151	4719034000	경상북도 구미시 해평면	1081049	1802828
4152	4719035000	경상북도 구미시 산동면	1086524	1798691
4153	4719036000	경상북도 구미시 장천면	1091032	1795507
4154	4719051000	경상북도 구미시 송정동	1076344	1791571
4155	4719052000	경상북도 구미시 원평1동	1076287	1792376
4156	4719053000	경상북도 구미시 원평2동	1074813	1793006
4157	4719053500	경상북도 구미시 원평동	1075613	1792601
4158	4719055100	경상북도 구미시 도량동	1074618	1794316
4159	4719055500	경상북도 구미시 지산동	1077017	1793680
4160	4719056500	경상북도 구미시 선주원남동	1072892	1792841
4161	4719058200	경상북도 구미시 형곡1동	1074973	1791141
4162	4719058300	경상북도 구미시 형곡2동	1075070	1789882
4163	4719059000	경상북도 구미시 신평1동	1077558	1791781
4164	4719060000	경상북도 구미시 신평2동	1077951	1792353
4165	4719061000	경상북도 구미시 비산동	1079175	1792123
4166	4719062100	경상북도 구미시 공단1동	1079198	1791580
4167	4719062200	경상북도 구미시 공단2동	1079207	1788746
4168	4719063000	경상북도 구미시 광평동	1077132	1790535
4169	4719064500	경상북도 구미시 상모사곡동	1076209	1788706
4170	4719066000	경상북도 구미시 임오동	1077681	1786932
4171	4719067000	경상북도 구미시 인동동	1085684	1789345
4172	4719068000	경상북도 구미시 진미동	1081826	1790058
4173	4719069000	경상북도 구미시 양포동	1082131	1793504
4174	4719070000	경상북도 구미시 공단동	1079207	1788837
4175	4721000000	경상북도 영주시	1092235	1876300
4176	4721025000	경상북도 영주시 풍기읍	1087996	1879286
4177	4721031000	경상북도 영주시 이산면	1107003	1869018
4178	4721032000	경상북도 영주시 평은면	1107734	1861865
4179	4721033000	경상북도 영주시 문수면	1100522	1861631
4180	4721034000	경상북도 영주시 장수면	1094445	1865313
4181	4721035000	경상북도 영주시 안정면	1094260	1872130
4182	4721036000	경상북도 영주시 봉현면	1089203	1869471
4183	4721037000	경상북도 영주시 순흥면	1093782	1881581
4184	4721038000	경상북도 영주시 단산면	1097336	1885275
4185	4721039000	경상북도 영주시 부석면	1102906	1887550
4186	4721051000	경상북도 영주시 상망동	1100495	1873671
4187	4721052500	경상북도 영주시 하망동	1101352	1869956
4188	4721055000	경상북도 영주시 영주1동	1099893	1870673
4189	4721056000	경상북도 영주시 영주2동	1099737	1870020
4190	4721059000	경상북도 영주시 휴천1동	1102661	1868762
4191	4721060000	경상북도 영주시 휴천2동	1100149	1868611
4192	4721061000	경상북도 영주시 휴천3동	1101962	1866954
4193	4721062000	경상북도 영주시 가흥1동	1098542	1867698
4194	4721063000	경상북도 영주시 가흥2동	1098509	1872126
4195	4723000000	경상북도 영천시	1127594	1779892
4196	4723025000	경상북도 영천시 금호읍	1125549	1770577
4197	4723031000	경상북도 영천시 청통면	1120381	1777014
4198	4723032000	경상북도 영천시 신녕면	1113617	1785254
4199	4723033000	경상북도 영천시 화산면	1121104	1784401
4200	4723034000	경상북도 영천시 화북면	1130322	1793320
4201	4723035000	경상북도 영천시 화남면	1124068	1788240
4202	4723036000	경상북도 영천시 자양면	1138370	1791331
4203	4723037000	경상북도 영천시 임고면	1139716	1784165
4204	4723038000	경상북도 영천시 고경면	1139027	1776865
4205	4723039000	경상북도 영천시 북안면	1135444	1767500
4206	4723040000	경상북도 영천시 대창면	1128453	1764130
4207	4723051000	경상북도 영천시 동부동	1130784	1778193
4208	4723052000	경상북도 영천시 중앙동	1128651	1779222
4209	4723053500	경상북도 영천시 서부동	1126081	1775995
4210	4723054000	경상북도 영천시 완산동	1131067	1774805
4211	4723055500	경상북도 영천시 남부동	1131685	1770707
4212	4725000000	경상북도 상주시	1053501	1827890
4213	4725025000	경상북도 상주시 함창읍	1061926	1839564
4214	4725031000	경상북도 상주시 중동면	1069858	1826328
4215	4725032000	경상북도 상주시 사벌면	1064685	1832122
4216	4725032500	경상북도 상주시 사벌국면	1064698	1832131
4217	4725033000	경상북도 상주시 낙동면	1067410	1818918
4218	4725033500	경상북도 상주시 낙동면동부출장소	1071503	1818756
4219	4725034000	경상북도 상주시 청리면	1057157	1815188
4220	4725035000	경상북도 상주시 공성면	1052766	1810875
4221	4725036000	경상북도 상주시 외남면	1052033	1817911
4222	4725037000	경상북도 상주시 내서면	1050518	1823267
4223	4725038000	경상북도 상주시 모동면	1041527	1811385
4224	4725039000	경상북도 상주시 모서면	1035425	1814785
4225	4725039500	경상북도 상주시 모서면서부출장소	1033309	1812231
4226	4725040000	경상북도 상주시 화동면	1042706	1822398
4227	4725041000	경상북도 상주시 화서면	1041260	1828933
4228	4725042000	경상북도 상주시 화북면	1032956	1842760
4229	4725042600	경상북도 상주시 화북면서부출장소	1029351	1844910
4230	4725043000	경상북도 상주시 외서면	1049071	1831918
4231	4725044000	경상북도 상주시 은척면	1050838	1839308
4232	4725044500	경상북도 상주시 은척면북부출장소	1052582	1842325
4233	4725045000	경상북도 상주시 공검면	1057417	1835660
4234	4725046000	경상북도 상주시 이안면	1055403	1842341
4235	4725047000	경상북도 상주시 화남면	1035285	1827770
4236	4725052000	경상북도 상주시 남원동	1056674	1823865
4237	4725053000	경상북도 상주시 북문동	1059139	1827587
4238	4725054000	경상북도 상주시 계림동	1061642	1827206
4239	4725055000	경상북도 상주시 동문동	1063790	1825978
4240	4725056000	경상북도 상주시 동성동	1061409	1821553
4241	4725057000	경상북도 상주시 신흥동	1058124	1819404
4242	4728000000	경상북도 문경시	1056619	1855211
4243	4728025000	경상북도 문경시 문경읍	1055797	1863723
4244	4728025100	경상북도 문경시 문경읍갈평출장소	1058718	1865645
4245	4728025300	경상북도 문경시 가은읍	1044502	1851397
4246	4728025400	경상북도 문경시 가은읍북부출장소	1052582	1842325
4247	4728029000	경상북도 문경시 문경읍갈평출장소	1058718	1865645
4248	4728029100	경상북도 문경시 가은읍북부출장소	1052582	1842325
4249	4728031000	경상북도 문경시 영순면	1067714	1841174
4250	4728032000	경상북도 문경시 산양면	1067773	1847338
4251	4728033000	경상북도 문경시 호계면	1062153	1852042
4252	4728034000	경상북도 문경시 산북면	1067656	1857013
4253	4728035000	경상북도 문경시 동로면	1072890	1864376
4254	4728036000	경상북도 문경시 마성면	1054535	1854126
4255	4728037000	경상북도 문경시 농암면	1042845	1842880
4256	4728051500	경상북도 문경시 점촌동	1062370	1844639
4257	4728052000	경상북도 문경시 중앙동	1063200	1843255
4258	4728053000	경상북도 문경시 신흥동	1062398	1846938
4259	4728054500	경상북도 문경시 신평동	1057630	1847833
4260	4728056000	경상북도 문경시 모전동	1061366	1843838
4261	4728057000	경상북도 문경시 점촌1동	1062370	1844639
4262	4728058000	경상북도 문경시 점촌2동	1063200	1843255
4263	4728059000	경상북도 문경시 점촌3동	1062398	1846938
4264	4728060000	경상북도 문경시 점촌4동	1057639	1847833
4265	4728061000	경상북도 문경시 점촌5동	1061366	1843838
4266	4729000000	경상북도 경산시	1117655	1762024
4267	4729025000	경상북도 경산시 하양읍	1116089	1768427
4268	4729025300	경상북도 경산시 진량읍	1119718	1764474
4269	4729025600	경상북도 경산시 압량읍	1114897	1761434
4270	4729031000	경상북도 경산시 와촌면	1117245	1773440
4271	4729033000	경상북도 경산시 자인면	1120108	1759293
4272	4729034000	경상북도 경산시 용성면	1126157	1756699
4273	4729035000	경상북도 경산시 남산면	1119190	1754180
4274	4729036000	경상북도 경산시 압량면	1114954	1761362
4275	4729037000	경상북도 경산시 남천면	1112667	1751499
4276	4729051000	경상북도 경산시 중방동	1111549	1759833
4277	4729052000	경상북도 경산시 중앙동	1111945	1759257
4278	4729053000	경상북도 경산시 남부동	1112268	1757166
4279	4729054000	경상북도 경산시 서부동	1110654	1758251
4280	4729054100	경상북도 경산시 서부1동	1110654	1758251
4281	4729054200	경상북도 경산시 서부2동	1110866	1760566
4282	4729055000	경상북도 경산시 북부동	1113219	1760633
